   1.9000000             101          13  9.99999975E-05  0.99989998    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot    
  0.100000E-03  0.288392      0.523151      0.845619      0.508022      0.844703      0.151288E-01  0.915471E-03   1.35273      0.508022      0.506822      0.337881       0.00000       0.00000    
  0.109648E-03  0.358616      0.515645      0.831991      0.499890      0.830997      0.157555E-01  0.994231E-03   1.33089      0.499890      0.498598      0.332399       0.00000       0.00000    
  0.120226E-03  0.426787      0.508400      0.818716      0.491975      0.817632      0.164246E-01  0.108428E-02   1.30961      0.491975      0.490579      0.327053       0.00000       0.00000    
  0.131825E-03  0.494133      0.501261      0.805585      0.484149      0.804406      0.171125E-01  0.117968E-02   1.28855      0.484149      0.482643      0.321762       0.00000       0.00000    
  0.144543E-03  0.560299      0.494276      0.792659      0.476449      0.791377      0.178272E-01  0.128275E-02   1.26783      0.476449      0.474826      0.316551       0.00000       0.00000    
  0.158489E-03  0.624886      0.487502      0.780011      0.468920      0.778613      0.185818E-01  0.139796E-02   1.24753      0.468920      0.467168      0.311445       0.00000       0.00000    
  0.173779E-03  0.688705      0.480832      0.767499      0.461475      0.765979      0.193567E-01  0.151965E-02   1.22745      0.461475      0.459587      0.306392       0.00000       0.00000    
  0.190545E-03  0.751054      0.474365      0.755247      0.454193      0.753593      0.201726E-01  0.165468E-02   1.20779      0.454193      0.452156      0.301437       0.00000       0.00000    
  0.208928E-03  0.812275      0.468060      0.743199      0.447036      0.741397      0.210233E-01  0.180182E-02   1.18843      0.447036      0.444838      0.296559       0.00000       0.00000    
  0.229085E-03  0.872766      0.461859      0.731283      0.439962      0.729326      0.218965E-01  0.195689E-02   1.16929      0.439962      0.437595      0.291730       0.00000       0.00000    
  0.251186E-03  0.931538      0.455912      0.719679      0.433084      0.717546      0.228283E-01  0.213377E-02   1.15063      0.433084      0.430527      0.287018       0.00000       0.00000    
  0.275420E-03  0.989584      0.450077      0.708210      0.426290      0.705889      0.237874E-01  0.232154E-02   1.13218      0.426290      0.423533      0.282356       0.00000       0.00000    
  0.301992E-03   1.04665      0.444393      0.696922      0.419609      0.694398      0.247834E-01  0.252396E-02   1.11401      0.419609      0.416639      0.277759       0.00000       0.00000    
