  10.0000000             101          13  9.99999975E-05  0.99989998    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot    
  0.100000E-03   13.7558       1.34608       1.67429       1.32747       1.67225      0.186082E-01  0.204451E-02   2.99972      0.918798      0.916861      0.755384      0.408675       0.00000    
  0.109648E-03   13.5510       1.32374       1.64574       1.30436       1.64354      0.193796E-01  0.219860E-02   2.94790      0.903268      0.901192      0.742346      0.401094       0.00000    
  0.120226E-03   13.3479       1.30183       1.61768       1.28163       1.61531      0.202032E-01  0.237197E-02   2.89694      0.888026      0.885795      0.729514      0.393600       0.00000    
  0.131825E-03   13.1455       1.28010       1.58983       1.25905       1.58728      0.210499E-01  0.255435E-02   2.84633      0.872904      0.870511      0.716769      0.386142       0.00000    
  0.144543E-03   12.9443       1.25862       1.56228       1.23669       1.55953      0.219298E-01  0.274962E-02   2.79622      0.857953      0.855386      0.704146      0.378738       0.00000    
  0.158489E-03   12.7445       1.23750       1.53514       1.21464       1.53217      0.228588E-01  0.296498E-02   2.74682      0.843237      0.840480      0.691692      0.371408       0.00000    
  0.173779E-03   12.5456       1.21657       1.50819       1.19275       1.50500      0.238129E-01  0.319095E-02   2.69775      0.828637      0.825682      0.679321      0.364115       0.00000    
  0.190545E-03   12.3481       1.19598       1.48164       1.17116       1.47820      0.248175E-01  0.343867E-02   2.64936      0.814262      0.811091      0.667111      0.356896       0.00000    
  0.208928E-03   12.1519       1.17567       1.45540       1.14980       1.45169      0.258649E-01  0.370579E-02   2.60149      0.800066      0.796663      0.655027      0.349736       0.00000    
  0.229085E-03   11.9566       1.15554       1.42935       1.12860       1.42537      0.269403E-01  0.398562E-02   2.55397      0.785985      0.782341      0.643026      0.342615       0.00000    
  0.251186E-03   11.7632       1.13586       1.40379       1.10777       1.39949      0.280878E-01  0.429985E-02   2.50727      0.772184      0.768271      0.631223      0.335589       0.00000    
  0.275420E-03   11.5708       1.11638       1.37845       1.08711       1.37381      0.292692E-01  0.463100E-02   2.46092      0.758505      0.754310      0.619505      0.328604       0.00000    
  0.301992E-03   11.3795       1.09716       1.35338       1.06667       1.34840      0.304959E-01  0.498489E-02   2.41506      0.744990      0.740495      0.607903      0.321676       0.00000    
  0.331127E-03   11.1901       1.07834       1.32873       1.04654       1.32335      0.317931E-01  0.537582E-02   2.36990      0.731712      0.726889      0.596466      0.314832       0.00000    
  0.363073E-03   11.0015       1.05970       1.30428       1.02658       1.29849      0.331259E-01  0.578606E-02   2.32507      0.718549      0.713383      0.585108      0.308027       0.00000    
  0.398101E-03   10.8146       1.04143       1.28020       1.00691       1.27397      0.345286E-01  0.623486E-02   2.28087      0.705605      0.700067      0.573902      0.301301       0.00000    
  0.436509E-03   10.6291       1.02348       1.25644      0.987482       1.24973      0.359934E-01  0.671962E-02   2.23721      0.692843      0.686906      0.562819      0.294639       0.00000    
  0.478622E-03   10.4445       1.00571       1.23289      0.968215       1.22566      0.374979E-01  0.722744E-02   2.19387      0.680196      0.673844      0.551815      0.288019       0.00000    
  0.524798E-03   10.2621      0.988426       1.20980      0.949323       1.20201      0.391032E-01  0.779642E-02   2.15133      0.667824      0.661011      0.540995      0.281498       0.00000    
  0.575429E-03   10.0807      0.971361       1.18694      0.930602       1.17854      0.407584E-01  0.839702E-02   2.10914      0.655579      0.648282      0.530260      0.275023       0.00000    
  0.630945E-03   9.90054      0.954577       1.16435      0.912100       1.15531      0.424765E-01  0.903754E-02   2.06741      0.643494      0.635684      0.519630      0.268607       0.00000    
