   10.000000             101          13  9.99999975E-05  0.99989998    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot    
  0.100000E-03   14.0486       1.37180       1.72591       1.36374       1.72288      0.806005E-02  0.303014E-02   3.08662      0.946720      0.945491      0.777391      0.417022       0.00000    
  0.109648E-03   13.8367       1.34860       1.69668       1.34002       1.69343      0.857831E-02  0.324424E-02   3.03345      0.930725      0.929407      0.764025      0.409292       0.00000    
  0.120226E-03   13.6270       1.32584       1.66798       1.31669       1.66449      0.915080E-02  0.348318E-02   2.98118      0.915030      0.913612      0.750880      0.401657       0.00000    
  0.131825E-03   13.4184       1.30327       1.63950       1.29352       1.63576      0.974810E-02  0.373361E-02   2.92928      0.899458      0.897936      0.737827      0.394064       0.00000    
  0.144543E-03   13.2111       1.28097       1.61133       1.27059       1.60733      0.103809E-01  0.400051E-02   2.87792      0.884061      0.882428      0.724905      0.386528       0.00000    
  0.158489E-03   13.0058       1.25905       1.58361       1.24798       1.57931      0.110680E-01  0.429282E-02   2.82729      0.868906      0.867151      0.712161      0.379074       0.00000    
  0.173779E-03   12.8014       1.23731       1.55609       1.22553       1.55149      0.117834E-01  0.459848E-02   2.77702      0.853870      0.851988      0.699506      0.371660       0.00000    
  0.190545E-03   12.5990       1.21595       1.52900       1.20339       1.52406      0.125564E-01  0.493139E-02   2.72745      0.839064      0.837043      0.687021      0.364326       0.00000    
  0.208928E-03   12.3980       1.19487       1.50223       1.18149       1.49694      0.133796E-01  0.528838E-02   2.67843      0.824440      0.822269      0.674669      0.357055       0.00000    
  0.229085E-03   12.1981       1.17399       1.47567       1.15976       1.47001      0.142357E-01  0.566114E-02   2.62977      0.809932      0.807607      0.662405      0.349826       0.00000    
  0.251186E-03   12.0006       1.15359       1.44964       1.13841       1.44356      0.151790E-01  0.607619E-02   2.58197      0.795708      0.793209      0.650350      0.342698       0.00000    
  0.275420E-03   11.8042       1.13339       1.42382       1.11722       1.41731      0.161644E-01  0.651183E-02   2.53453      0.781607      0.778926      0.638384      0.335615       0.00000    
  0.301992E-03   11.6092       1.11347       1.39831       1.09626       1.39134      0.172063E-01  0.697516E-02   2.48760      0.767671      0.764796      0.626540      0.328592       0.00000    
